file_keys,P3L53C003,P3L53C003_rep,P3L55C005,P3L55C005_rep,P3L55C006,P3L55C006_rep,P3L56N001,P3L56N001_rep,P3L56N006,P3L56N006_rep,P3L63N009,P3L63N009_rep,P3L64C001,P3L64C001_rep,P3L66C005,P3L66C005_rep,P3R15N001,P3R15N001_rep,P3R27N003,P3R27N003_rep
8LQY5RYP0FUJTPIjzd4y8Q5t8Nvl1L9V,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
GsxRasK0Nv4nb0F67T2bGp7szqQfPj1e,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0
JVEQKb31GLX8uCLIu4TcnecpA1MB01VG,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VB129plnZ70dE74HIPFkmHg8hPUZp0t5,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
0962ToO3lZMIZWGTv2SkatvLXBnuEZHC,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
YrbbHDMAraUjCOteQ4yxUGdqBmnnKsU8,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1
JjO9C0RicW96aL9wsPFzFMHiuzhteaLV,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1
pudlAaZgBa6U0ZSqFMIdIhdGciuB5FZW,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
P7VE3o7ErGU7kxydl2cixa4D2mIsWmfr,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NMuFA1Mam76l3IflxvV611Hmv34CDBOZ,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
uSak1zzl5k7p2Zu9AEeUPjLJ1invZwKG,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
D728UP0jV8qXtpHRitWq0wH5zQrVD9hG,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0
WVEmOdAxe3WzwtIb8XR9GuEV8d7Sb8Oy,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
9JYZARCmkH5X26qABQAofEgKbWVt0opW,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
cZo1BnboqBcm7oklDk7QGMl2Z53MbjES,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
WUtN9gP3kx0sOESdn5p0aClhAb6jJqGf,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
7FpwBVEsqHJdCKgH35P0jz9IKTLg41jB,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
hTfGxWzS1iKb2ynsxsPlL4SKoPPO9lSk,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
CAyeuS6mLl0vR28ISLxQulfsxbvRISdj,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
UMxNBAR4B0w1nvAAanTsYrvhKFqSo7YI,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
oG8wkNr4TiTaZ6hHVgfaWbVP5yTNLijk,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1
i9BBE1JW2GQEeAq7AWGwfqprnYZcYDJi,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
GgD0yddAsGzPnE5bdCJtvhmusW4lDdPe,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
6bTbkb8h9VR5qQF72XATFDEnwYW5VF8k,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
hmTbNCwrN8MSERxz0hrDIJoQdLBJYIMy,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
ACLWgYFIMaGUmq7QNc99s2p5j4ilVEzS,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
aKZL4w1attmy4uXjSusnBD9QzM5HBBeG,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1
B5wdibWjSsscuTxXuizb6b7Jn6TWrvcR,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0
wxnNS16L4W6A9YKm4wQ6Prajap84jolJ,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
LqYnhFZ47cMjPMyOd5xZrNtQdKvwPDlg,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
ZGszyDRowipenYz8JMvNR0hFRKQwcj0W,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
yu984OqdqsTvrYZOKkA1RfatotKQy65f,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
3XUctRI82CT9f0qwXinsISGrRhaS6BFK,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Z3Em08z6N0BqImTUDOlaWuecHabvDZUf,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
tRb4yoAkf9H6z9V9avJrkKvdA2E08Wji,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
83KvDEuSwx9gtkOzi1STvioS5etYMpSV,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
