file_keys,S2L59N004,S2L59N004_rep,S2L70N003,S2L70N003_rep,S2R17N001,S2R17N001_rep,S2R17N002,S2R17N002_rep,S2R18C005,S2R18C005_rep,S2R18C007,S2R18C007_rep,S2R30C005,S2R30C005_rep,S2R30C007,S2R30C007_rep,S2R30C008,S2R30C008_rep,S2R31N001,S2R31N001_rep
8LQY5RYP0FUJTPIjzd4y8Q5t8Nvl1L9V,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
GsxRasK0Nv4nb0F67T2bGp7szqQfPj1e,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
JVEQKb31GLX8uCLIu4TcnecpA1MB01VG,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
VB129plnZ70dE74HIPFkmHg8hPUZp0t5,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
0962ToO3lZMIZWGTv2SkatvLXBnuEZHC,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0
YrbbHDMAraUjCOteQ4yxUGdqBmnnKsU8,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
JjO9C0RicW96aL9wsPFzFMHiuzhteaLV,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1
pudlAaZgBa6U0ZSqFMIdIhdGciuB5FZW,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
P7VE3o7ErGU7kxydl2cixa4D2mIsWmfr,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
NMuFA1Mam76l3IflxvV611Hmv34CDBOZ,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1
uSak1zzl5k7p2Zu9AEeUPjLJ1invZwKG,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0
D728UP0jV8qXtpHRitWq0wH5zQrVD9hG,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
WVEmOdAxe3WzwtIb8XR9GuEV8d7Sb8Oy,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0
9JYZARCmkH5X26qABQAofEgKbWVt0opW,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
cZo1BnboqBcm7oklDk7QGMl2Z53MbjES,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0
WUtN9gP3kx0sOESdn5p0aClhAb6jJqGf,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
7FpwBVEsqHJdCKgH35P0jz9IKTLg41jB,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hTfGxWzS1iKb2ynsxsPlL4SKoPPO9lSk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
CAyeuS6mLl0vR28ISLxQulfsxbvRISdj,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0
UMxNBAR4B0w1nvAAanTsYrvhKFqSo7YI,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
oG8wkNr4TiTaZ6hHVgfaWbVP5yTNLijk,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1
i9BBE1JW2GQEeAq7AWGwfqprnYZcYDJi,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
GgD0yddAsGzPnE5bdCJtvhmusW4lDdPe,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
6bTbkb8h9VR5qQF72XATFDEnwYW5VF8k,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
hmTbNCwrN8MSERxz0hrDIJoQdLBJYIMy,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
ACLWgYFIMaGUmq7QNc99s2p5j4ilVEzS,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
aKZL4w1attmy4uXjSusnBD9QzM5HBBeG,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
B5wdibWjSsscuTxXuizb6b7Jn6TWrvcR,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
wxnNS16L4W6A9YKm4wQ6Prajap84jolJ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
LqYnhFZ47cMjPMyOd5xZrNtQdKvwPDlg,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
ZGszyDRowipenYz8JMvNR0hFRKQwcj0W,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
yu984OqdqsTvrYZOKkA1RfatotKQy65f,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1
3XUctRI82CT9f0qwXinsISGrRhaS6BFK,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
Z3Em08z6N0BqImTUDOlaWuecHabvDZUf,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
tRb4yoAkf9H6z9V9avJrkKvdA2E08Wji,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
83KvDEuSwx9gtkOzi1STvioS5etYMpSV,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
