file_keys,P3L56N004,P3L64C007,P3L64C008,S2L57N004,S2L57N005,S2R30C006
8LQY5RYP0FUJTPIjzd4y8Q5t8Nvl1L9V,0,1,1,0,0,1
GsxRasK0Nv4nb0F67T2bGp7szqQfPj1e,1,1,1,0,0,0
JVEQKb31GLX8uCLIu4TcnecpA1MB01VG,0,1,1,0,0,0
VB129plnZ70dE74HIPFkmHg8hPUZp0t5,0,1,1,0,0,1
0962ToO3lZMIZWGTv2SkatvLXBnuEZHC,1,0,0,1,1,0
YrbbHDMAraUjCOteQ4yxUGdqBmnnKsU8,0,0,0,1,0,1
JjO9C0RicW96aL9wsPFzFMHiuzhteaLV,0,1,0,0,1,0
pudlAaZgBa6U0ZSqFMIdIhdGciuB5FZW,0,1,1,0,1,0
P7VE3o7ErGU7kxydl2cixa4D2mIsWmfr,1,1,1,0,0,0
NMuFA1Mam76l3IflxvV611Hmv34CDBOZ,0,0,0,1,0,1
uSak1zzl5k7p2Zu9AEeUPjLJ1invZwKG,1,1,0,0,1,0
D728UP0jV8qXtpHRitWq0wH5zQrVD9hG,1,1,1,0,0,0
WVEmOdAxe3WzwtIb8XR9GuEV8d7Sb8Oy,0,1,1,0,0,1
9JYZARCmkH5X26qABQAofEgKbWVt0opW,0,1,1,0,0,1
cZo1BnboqBcm7oklDk7QGMl2Z53MbjES,0,0,1,0,0,0
WUtN9gP3kx0sOESdn5p0aClhAb6jJqGf,0,1,1,0,0,1
7FpwBVEsqHJdCKgH35P0jz9IKTLg41jB,0,1,1,0,0,1
hTfGxWzS1iKb2ynsxsPlL4SKoPPO9lSk,0,1,1,0,0,1
CAyeuS6mLl0vR28ISLxQulfsxbvRISdj,0,0,0,0,0,0
UMxNBAR4B0w1nvAAanTsYrvhKFqSo7YI,0,1,1,0,0,1
oG8wkNr4TiTaZ6hHVgfaWbVP5yTNLijk,1,1,0,0,0,1
i9BBE1JW2GQEeAq7AWGwfqprnYZcYDJi,0,1,0,0,0,1
GgD0yddAsGzPnE5bdCJtvhmusW4lDdPe,0,1,0,0,0,1
6bTbkb8h9VR5qQF72XATFDEnwYW5VF8k,1,1,0,0,1,0
hmTbNCwrN8MSERxz0hrDIJoQdLBJYIMy,0,1,0,0,1,1
ACLWgYFIMaGUmq7QNc99s2p5j4ilVEzS,0,1,1,0,0,1
aKZL4w1attmy4uXjSusnBD9QzM5HBBeG,0,1,1,0,0,1
B5wdibWjSsscuTxXuizb6b7Jn6TWrvcR,0,1,1,0,0,0
wxnNS16L4W6A9YKm4wQ6Prajap84jolJ,0,1,1,1,0,1
LqYnhFZ47cMjPMyOd5xZrNtQdKvwPDlg,0,1,1,0,0,1
ZGszyDRowipenYz8JMvNR0hFRKQwcj0W,0,0,1,0,0,1
yu984OqdqsTvrYZOKkA1RfatotKQy65f,0,1,1,0,0,1
3XUctRI82CT9f0qwXinsISGrRhaS6BFK,0,1,1,0,0,1
Z3Em08z6N0BqImTUDOlaWuecHabvDZUf,0,1,1,0,1,0
tRb4yoAkf9H6z9V9avJrkKvdA2E08Wji,0,1,1,0,0,1
83KvDEuSwx9gtkOzi1STvioS5etYMpSV,1,0,0,1,1,0
